X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.6764122,30.34989185,3135,605273.1106,0.011765418,0.026000169,0.815770988,0.090836685,1,0,0,0,0,0,1,0,0,0,0,0,5,1,39241,131.4,700,584.8049908,0,0,0,0,0,0,Rest,Heritage Hills,451.3635969,451.3635969,0
-97.67722648,30.34716139,3136,706847.8063,0.024763238,0.05945092,0.477741164,0.206181988,1,0,0,0,0,0,1,0,0,0,0,0,2,1,39241,131.4,584,581.0734248,0,0,0,0,0,0,Rest,Heritage Hills,427.0829368,427.0829368,0
-97.6772493,30.34613058,3144,825532.5619,0.045374343,0.06800972,0.395891073,0.216231758,1,0,0,0,0,0,1,0,0,0,0,0,2,1,63107,131.2,553,480.5436804,0,0,0,0,0,0,Rest,Heritage Hills,377.1724619,377.1724619,0
-97.67747001,30.35181351,3145,730638.1695,0.006802426,0.014524728,0.905527778,0.04809587,1,0,0,0,0,0,1,0,0,0,0,0,5,1,51893,131.4,817,523.2998214,0,0,0,0,0,0,Rest,Windsor Hills,473.8792622,473.8792622,0
-97.69526,30.36234,3147,1113004.806,0.004501959,0.043285071,0.919510204,0.000161232,others,others,0,0,others,0,others,0,0,0,0,0,24,1,40372,203.4,499,271.5141077,0,0,0,0,0,0,Rest,North Lamar,282.0706452,282.0706452,0
-97.69848629,30.36393886,3148,1424587.143,0.002639719,0.029630546,0.944104209,0,others,others,0,0,others,0,others,0,0,0,0,0,25,1,37253,203.4,508,353.1649414,0,0,0,0,0,0,Rest,North Austin Civic Association,300.9437845,300.9437845,0
-97.70067493,30.36497156,3149,628738.2788,0.003431621,0.025144057,0.956443387,0,others,others,0,0,others,0,others,0,0,0,0,0,31,1,37253,203.4,500,354.3326066,0,0,0,0,0,0,Rest,North Austin Civic Association,272.1935789,272.1935789,0
-97.70404,30.36657,3150,762178.5056,0.002269057,0.011236088,0.978779548,0,1,0,0,0,others,0,others,0,0,0,0,0,21,1,37253,138.4,449,366.3668549,0,0,0,0,0,0,Rest,North Austin Civic Association,330.9482103,330.9482103,0
-97.71035925,30.36925416,3152,694946.4424,0.003813192,0.008433216,0.958071361,0.020154792,1,0,0,0,others,0,others,0,0,0,0,0,14,1,35181,138,340,352.1525952,0,0,0,0,0,0,Rest,North Austin Civic Association,314.2909044,314.2909044,0
-97.716508,30.37073758,3155,942074.0379,0.005531233,0.028327278,0.8423438,0.091600912,0,1,0,0,0,0,0,0,0,0,0,0,1,1,35181,65,306,319.9519932,0,0,0,0,0,0,Rest,North Austin Civic Association,288.9025791,288.9025791,0
